,bought_qty,sold_qty,bought_value,sold_value,total_fees,gross_pnl,net_pnl,open_buy_qty,open_sell_qty,aggress_edge,submitted,fill_ratio,date
66,84,84,13057000.0,13057300.0,-21.84,295.0,273.16,0,0,2.0,107,0.7850467289719626,20210121
67,239,239,36681400.0,36684200.0,-62.14,2820.0,2757.86,0,0,2.0,334,0.7155688622754491,20210115
68,288,290,44475200.0,44788900.0,-75.14,3785.0,3709.86,0,0,2.0,400,0.7225,20210108
69,244,244,37706700.0,37708800.0,-63.44,2065.0,2001.56,0,0,2.0,377,0.6472148541114059,20210112
70,501,499,75185200.0,74893600.0,-130.0,9575.0,9445.0,0,0,2.0,645,0.7751937984496124,20210104
71,105,105,16277600.0,16278900.0,-27.3,1325.0,1297.7,0,0,2.0,142,0.7394366197183099,20210114
72,617,617,94584700.0,94592800.0,-160.42,8070.0,7909.58,0,0,2.0,857,0.7199533255542591,20210106
73,121,122,18663300.0,18818200.0,-31.59,825.0,793.41,0,0,2.0,173,0.7023121387283237,20210119
74,65,65,10046600.0,10048400.0,-16.9,1805.0,1788.1,0,0,2.0,98,0.6632653061224489,20210122
75,334,333,50453300.0,50307500.0,-86.71,5615.0,5528.29,0,0,1.8,490,0.6806122448979591,20210105
76,297,297,45851200.0,45852600.0,-77.22,1370.0,1292.78,0,0,1.8,499,0.5951903807615231,20210111
77,198,199,30662000.0,30818200.0,-51.61,1450.0,1398.39,0,0,1.8,307,0.6465798045602605,20210113
78,532,532,81640300.0,81645200.0,-138.32,4870.0,4731.68,0,0,1.8,803,0.6625155666251556,20210125
79,196,197,30326100.0,30483900.0,-51.09,3095.0,3043.91,0,0,1.8,308,0.637987012987013,20210107
80,115,115,17834100.0,17835500.0,-29.9,1370.0,1340.1,0,0,1.8,164,0.7012195121951219,20210120
81,108,108,16788600.0,16788400.0,-28.08,-185.0,-213.08,0,0,1.8,156,0.6923076923076923,20210121
82,344,346,52812200.0,53120700.0,-89.7,1315.0,1225.3,0,0,1.8,514,0.6712062256809338,20210115
83,380,382,58684800.0,58999200.0,-99.06,4530.0,4430.94,0,0,1.8,595,0.6403361344537815,20210108
84,319,320,49301600.0,49459000.0,-83.07,2645.0,2561.93,0,0,1.8,544,0.5873161764705882,20210112
85,602,604,90333600.0,90643200.0,-156.78,8330.0,8173.22,0,0,1.8,894,0.674496644295302,20210104
86,139,138,21554500.0,21400700.0,-36.01,720.0,683.99,0,0,1.8,223,0.6210762331838565,20210114
87,639,639,97970400.0,97978700.0,-166.14,8280.0,8113.86,0,0,1.8,1171,0.5456874466268147,20210106
88,144,144,22207200.0,22208600.0,-37.44,1350.0,1312.56,0,0,1.8,220,0.6545454545454545,20210119
89,86,86,13292000.0,13293600.0,-22.36,1530.0,1507.64,0,0,1.8,137,0.6277372262773723,20210122
90,4022,4020,607953000.0,607632000.0,-1045.46,-17840.0,-18885.46,0,0,0.2,8009,0.5020601822949182,20210105
91,3465,3467,535403000.0,535696000.0,-901.16,-15595.0,-16496.16,0,0,0.2,8551,0.4053327096246053,20210111
92,3589,3588,555892000.0,555720000.0,-933.01,-17530.0,-18463.01,0,0,0.2,7931,0.4524650107174379,20210113
93,3585,3585,551377000.0,551359000.0,-932.1,-17670.0,-18602.1,0,0,0.2,8406,0.42648108493932907,20210125
94,3761,3763,582374000.0,582664000.0,-978.12,-18970.0,-19948.12,0,0,0.2,7924,0.4747602221100454,20210107
95,3836,3836,595264000.0,595244000.0,-997.36,-20005.0,-21002.36,0,0,0.2,7206,0.5323341659728005,20210120
96,3724,3724,578959000.0,578941000.0,-968.24,-17675.0,-18643.24,0,0,0.2,7299,0.5102068776544733,20210121
97,3551,3553,545899000.0,546190000.0,-923.52,-15685.0,-16608.52,0,0,0.2,8638,0.4112062977541098,20210115
98,3636,3636,561535000.0,561517000.0,-945.36,-18675.0,-19620.36,0,0,0.2,8280,0.4391304347826087,20210108
99,2907,2909,449502000.0,449797000.0,-756.08,-14835.0,-15591.08,0,0,0.2,8734,0.3329516830776277,20210112
100,3606,3605,541861000.0,541694000.0,-937.43,-16100.0,-17037.43,0,0,0.2,8836,0.4080466274332277,20210104
101,3681,3681,571421000.0,571404000.0,-957.06,-17105.0,-18062.06,0,0,0.2,7946,0.46325195066700225,20210114
102,3029,3029,465676000.0,465660000.0,-787.54,-15915.0,-16702.54,0,0,0.2,8668,0.34944623904014765,20210106
103,3537,3539,545529000.0,545821000.0,-919.88,-16400.0,-17319.88,0,0,0.2,7741,0.4570468931662576,20210119
